"Team","total_wins","total_losses","win_pct","total_pts","total_opp_pts","avg_fgpct","avg_opp_fgpct","total_rebounds","total_turnovers","total_assists"
"Boston University",149,143,0.51027397260274,21520,21522,0.446279220779221,0.446788961038961,9696,3799,3840
"Bowling Green State",150,155,0.491803278688525,23758,23620,0.43574921630094,0.445216300940439,10810,3764,3934
"Bradley",169,155,0.521604938271605,22411,21981,0.436951807228916,0.416246987951807,10776,4209,4105
"Brigham Young",194,95,0.671280276816609,23695,21416,0.467870431893688,0.428887043189369,10471,3596,4798
"Brown",115,136,0.458167330677291,18896,19021,0.436374045801527,0.447416030534351,8503,3400,3479
"Bryant",141,152,0.48122866894198,22735,22990,0.439747540983607,0.43723606557377,10127,3828,4166
"Bucknell",155,135,0.53448275862069,22760,22279,0.457977419354839,0.436396774193548,9775,3832,4360
"Buffalo",154,123,0.555956678700361,22458,21686,0.449933797909408,0.438128919860627,10258,3826,4239
"Butler",145,132,0.523465703971119,21163,20567,0.451759450171821,0.448137457044674,8753,3095,3886
"Cal Poly",82,199,0.291814946619217,20076,21671,0.411558139534884,0.449717607973422,9058,3602,3488
"Cal State Bakersfield",150,152,0.496688741721854,21536,21030,0.43075873015873,0.423568253968254,10304,3863,3861
"Cal State Fullerton",125,152,0.451263537906137,20887,21292,0.435326666666667,0.43509,9505,3873,3249
"Cal State Long Beach",36,35,0.507042253521127,5671,5770,0.4335625,0.432225,2541,1092,948
"Cal State Northridge",107,187,0.363945578231293,21833,22824,0.43885016286645,0.440107491856678,9787,3857,4040
"California",96,152,0.387096774193548,17834,18603,0.423324324324324,0.444660231660232,8358,3033,2864
"California Baptist",95,82,0.536723163841808,13244,12584,0.436142076502732,0.432021857923497,6260,2190,2474
"Campbell",151,156,0.49185667752443,22709,22115,0.45911875,0.4495125,9279,3593,4222
"Canisius",121,163,0.426056338028169,21556,22082,0.432516556291391,0.463092715231788,9066,3558,4305
"Central Arkansas",88,206,0.299319727891156,22459,24739,0.430094155844156,0.463194805194805,9852,4312,4265
"Central Connecticut State",100,185,0.350877192982456,20001,21471,0.4266,0.448326666666667,9343,3803,3694
"Central Florida",130,100,0.565217391304348,16793,16332,0.435560975609756,0.412191056910569,8038,3168,3082
"Central Michigan",148,152,0.493333333333333,23735,23560,0.439022292993631,0.445251592356688,10148,3650,3903
"Charleston Southern",106,182,0.368055555555556,21616,22152,0.427509933774834,0.453145695364238,9801,3814,3607
"Charlotte",124,163,0.43205574912892,21649,22214,0.445623376623377,0.456909090909091,9225,3566,3874
"Chattanooga",196,116,0.628205128205128,24528,23031,0.457423780487805,0.442875,10355,3814,4488
"Chicago State",58,232,0.2,19069,22719,0.396786440677966,0.470728813559322,8817,4059,3236
"Cincinnati",199,94,0.679180887372014,22053,19601,0.438516556291391,0.40914238410596,10359,3172,4436
"Citadel",22,31,0.415094339622642,3938,4017,0.453018181818182,0.463345454545455,1659,681,783
"Clemson",194,119,0.619808306709265,23185,21480,0.450386996904025,0.418687306501548,10474,3524,4293
"Cleveland State",154,151,0.504918032786885,23001,22897,0.442312883435583,0.43969018404908,10121,3939,4313
"Coastal Carolina",129,145,0.470802919708029,21049,20484,0.440679442508711,0.413439024390244,10299,3695,3669
"Colgate",178,122,0.593333333333333,22942,21710,0.471057142857143,0.44284126984127,9823,3528,4706
"College of Charleston",199,101,0.663333333333333,23338,21988,0.443197492163009,0.436137931034483,10399,3548,3966
"Colorado",192,137,0.583586626139818,24730,23501,0.44877581120944,0.427634218289086,11527,4258,4596
"Colorado State",196,119,0.622222222222222,24450,23126,0.459012158054711,0.433796352583587,10783,3639,4832
"Columbia",100,139,0.418410041841004,18460,18548,0.443637795275591,0.448389763779528,8090,3061,3690
"Connecticut",214,109,0.662538699690402,24661,22142,0.452434523809524,0.408169642857143,11293,3737,4853
"Coppin State",64,219,0.226148409893993,20039,23461,0.392504983388704,0.454036544850498,9080,4256,3279
"Cornell",124,121,0.506122448979592,19410,19212,0.454891472868217,0.443321705426357,8072,3236,3957
